什么是“单一职责代理”原则？,每个代理应该只负责一个明确定义的任务，就像优秀的软件设计倾向于“做好一件事”的函数和类一样。
让一个代理承担多重职责（如生成和验证）会带来什么问题？,这使得代理更难提示、更难测试，并且更容易出现微妙的、非确定性的故障。
论文提出的第五个最佳实践是关于如何管理代理提示的？,将提示存储为外部工件（如Markdown或文本文件），并在运行时加载它们。
将提示外部化存储有哪些主要好处？,它实现了代码与提示的解耦，允许非技术人员更新代理行为，并支持独立的治理和版本控制工作流。
为了实现“责任感AI”，论文推荐了什么样的代理架构？,采用多模型联盟架构，其中多个专业LLM独立生成输出，然后由一个专用的推理代理进行综合。
多模型联盟和推理代理的设计如何增强工作流？,通过交叉模型验证提高准确性，通过多样性减少偏见，并增强对模型更新的鲁棒性。
在责任感AI架构中，推理代理的核心任务是什么？,执行结构化的整合任务，如解决冲突、检查逻辑一致性和事实对齐，而不是从头创建新内容。
将代理式AI工作流逻辑与MCP服务器分离的架构原则是什么？,工作流应通过REST API提供服务，而MCP服务器应充当一个薄的编排层，将MCP工具调用转发到底层API。
为什么将工作流引擎与MCP服务器解耦很重要？,这可以提高可维护性，支持组件的独立扩展，并确保在LLM和工具演进时的长期适应性。
第八个最佳实践建议使用什么技术来部署生产环境中的代理式AI工作流？,使用Docker等容器化技术，并用Kubernetes等平台进行编排。
容器化部署为代理式AI工作流带来了哪些运营优势？,可移植性、可扩展性、弹性、安全性、可观察性和持续交付。
在代理式AI工作流中应用“KISS”（保持简单愚蠢）原则意味着什么？,避免不必要的结构复杂性，优先选择扁平、可读、功能驱动的设计，而不是传统的复杂企业架构模式。
为什么在代理式系统中，过度工程化的传统软件模式可能是有害的？,因为它们会引入脆弱性，而不是清晰性；代理式工作流的价值在于将推理委托给LLM，而不是复杂的内部逻辑。
保持工作流的简单性如何提高可靠性？,它减少了代理行为模糊、工具调用不匹配或意外副作用的机会，使代理决策路径更清晰。
该论文的案例研究是如何实现其完整实施的？,使用OpenAI Agents SDK，并将工作流后端通过专用REST API暴露，同时开发了一个相应的MCP服务器。
在评估阶段，播客脚本生成代理联盟由哪些模型组成？,由Llama、OpenAI和Gemini模型组成。
对不同模型生成的播客脚本进行评估后，得出了什么结论？,不同模型产生了自然的多样性（如简洁、叙事性强），但也带来了不一致性，凸显了下游整合机制的必要性。
评估结果如何证明推理代理的价值？,推理代理生成的整合脚本在清晰度、事实稳定性和叙事连贯性方面有显著改进，并通过多模型共识降低了幻觉风险。
在多模态内容生成方面，视频脚本代理的任务是什么？,将整合后的播客脚本可靠地转换为基于场景的描述，同时保持叙事保真度和时间连贯性。
评估Veo-3 JSON构建代理时关注哪些方面？,关注其输出的结构正确性、模式对齐以及与Google Veo-3视频生成API的集成保真度。
在传统的人机交互模式中，_____提供提示，模型生成回应。,人类
与人类不同，AI代理能够自主执行LLM交互，包括_____、调用模型、解释回应和执行后续行动。,构建提示
当多个各具专长（如搜索、过滤、推理）的AI代理协作时，它们就形成了_____。,代理式AI工作流
缺乏严谨的工程方法会导致代理式工作流变成_____、无界且易于出错的管道。,不透明
播客生成案例展示了代理式AI管道如何将网页检索、内容生成、_____和软件操作自动化统一起来。,多模态合成
术语: 纯函数 (Pure functions),定义：由工作流直接执行而不涉及LLM的函数，它们是确定性的，用于处理不需要语言推理的任务。
将提示与源代码分离可以使_____等非技术利益相关者能够更新代理行为而无需修改代码。,领域专家
在Kubernetes中部署代理式工作流可以实现_____，即根据负载自动增减副本数量。,可扩展性
“保持简单”原则有助于代理式工作流更好地与_____等现代AI辅助开发工具集成。,GitHub Copilot
在播客工作流的最后一步，_____代理将所有生成的资产（脚本、音频、视频）打包并通过拉取请求发布到GitHub。,PR代理
为了解决MCP集成的不可预测性，论文中的PR代理最终被替换为_____。,直接的函数调用
将Veo-3 JSON生成和视频生成任务拆分为两个单一职责代理，解决了什么问题？,解决了LLM有时会产生格式错误的JSON、混合自然语言或“幻觉”出文件路径的问题。
通过将工作流和MCP服务器_____并部署到Kubernetes集群，可以实现独立的扩展和安全的迭代。,Docker化（容器化）
